Asset Name,OS,cb-cloud,huntress,microsoft-ad,sentinelone,sentinelone-ranger
adsyncserver,b'Windows Server 2019 Datacenter', ,huntress, , , 
azcdetroitlt5,b'Windows 10 Enterprise', ,huntress, , , 
azcdlrc003,b'Windows 10 Enterprise', ,huntress, , , 
azcdtdettest2,b'Windows 10 Pro', ,huntress, , , 
azcdtlrc02,b'Windows 11 Enterprise', ,huntress, , , 
azcdtrc,b'Windows 10 Pro', ,huntress, , , 
azcfd1,b'Windows 10 Pro', ,huntress, , , 
azcltan1,b'Windows 10 Enterprise', ,huntress, , , 
azcltcorp002,b'Windows 11 Enterprise', ,huntress, , , 
azcltdet6,b'Windows 10 Pro', ,huntress, , , 
azcltdetroit1,b'Windows 10 Enterprise', ,huntress, , , 
azcltfin,b'Windows 11 Enterprise', ,huntress, , , 
azcltkw,b'Windows 10 Enterprise', ,huntress, , , 
azcltme1,b'Windows 10 Pro', ,huntress, , , 
azcltnw,b'Windows 10 Enterprise', ,huntress, , , 
azcltrc,b'Windows 10 Enterprise', ,huntress, , , 
azcltss,b'Windows 10 Pro', ,huntress, , , 
azcltys,b'Windows 10 Enterprise', ,huntress, , , 
azcltzd,b'Windows 10 Enterprise', ,huntress, , , 
azct-loanerlt,b'Windows 10 Pro', ,huntress, , , 
brn3c2af4609a63,b'Linux', , , , ,sentinelone-ranger
ca-dkaplan-lt,b'Windows 10 Pro', , ,microsoft-ad, ,sentinelone-ranger
ca-lt-wworms,b'Windows 10 Pro', , ,microsoft-ad, , 
ca-swankel-lt,b'Windows 10 Pro 19044', , ,microsoft-ad,sentinelone, 
ca-tab-conference,b'Windows 10 Pro 19045', ,huntress, ,sentinelone, 
ca-wks-dkaplan,b'Windows 11 Pro 22000', ,huntress, ,sentinelone,sentinelone-ranger
ca-wks-hfarah,b'Windows 10 Pro 19044', ,huntress, ,sentinelone, 
ca-wks-wworms,b'Windows 10 Pro 19044',cb-cloud, ,microsoft-ad,sentinelone, 
complabstudent1,b'Windows 10 Pro', ,huntress, , , 
desktop-066nk7m,b'Windows 11 Pro', , ,microsoft-ad, , 
desktop-1g9coan,b'Windows 10 Enterprise', ,huntress, , , 
desktop-3ia5sq3,b'Windows 10 Enterprise', ,huntress, , , 
desktop-3p8gbo2,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone,sentinelone-ranger
desktop-6751236,b'Windows 10 x64',cb-cloud, ,microsoft-ad, , 
desktop-8upkluc,b'Windows 11 Enterprise', ,huntress, , , 
desktop-979mmtj,b'Windows 10 Pro', ,huntress, , , 
desktop-a2f98vs,b'Windows 10 Pro', ,huntress, , , 
desktop-aochgns,b'Windows 10 Pro', ,huntress, , , 
desktop-ckf0dc8,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone,sentinelone-ranger
desktop-d9hkaoo,b'Windows 10 Pro', ,huntress, , , 
desktop-dpb3hoe,b'Windows 10 Pro', ,huntress, , , 
desktop-e22749k,b'Windows 10 Pro', , ,microsoft-ad, , 
desktop-eierlq5,b'Windows 10 Pro 19043', , ,microsoft-ad,sentinelone, 
desktop-g22enmk,b'Windows 10 Pro', ,huntress, , , 
desktop-k1prfif,b'Windows 10 Pro 19043', , ,microsoft-ad,sentinelone, 
desktop-kvdc6ir,b'Windows 10 Pro', ,huntress, , , 
desktop-n93c9si,b'Windows 10 Enterprise', ,huntress, , , 
desktop-q5v4fan,b'Windows 10 Enterprise', ,huntress, , , 
desktop-r9ppe87,b'Windows 10 Pro', ,huntress, , , 
desktop-sf46uc5,b'Windows 10 Pro', ,huntress, , , 
dls-lt-aross,b'Windows 10 Pro', ,huntress, , , 
