Asset Name,OS,huntress
4d-vm01,b'Windows 10 Enterprise',huntress
4d-vm02,b'Windows 10 Enterprise',huntress
4d-vm03,b'Windows 10 Enterprise LTSC 2019',huntress
4d-vm04,b'Windows 10 Enterprise LTSC 2019',huntress
4d-vm05,b'Windows 10 Enterprise LTSC 2019',huntress
akansha,b'Windows 10 Enterprise',huntress
ameet,b'Windows 11 Enterprise',huntress
anahita,b'Windows 10 Enterprise',huntress
angie,b'Windows 11 Enterprise',huntress
aparna,b'Windows 10 Enterprise',huntress
armeen,b'Windows 10 Enterprise',huntress
ashish,b'Windows 11 Enterprise',huntress
assumption,b'Windows 10 Enterprise',huntress
audio,b'Windows 10 Pro',huntress
chahat,b'Windows 10 Enterprise',huntress
cont011,b'Windows 10 Pro',huntress
desktop-3279,b'Windows 10 Enterprise',huntress
desktop-l9emmoh,b'Windows 11 Pro',huntress
desktop-on3sgkc,b'Windows 10 Pro',huntress
dhruvi,b'Windows 11 Enterprise',huntress
gloria,b'Windows 10 Enterprise',huntress
india-vm01,b'Windows 10 Enterprise LTSC 2019',huntress
janhavi,b'Windows 10 Enterprise',huntress
karen,b'Windows 10 Enterprise',huntress
kirank,b'Windows 10 Enterprise',huntress
lapotp-3470,b'Windows 10 Enterprise',huntress
laptop-3058,b'Windows 10 Enterprise',huntress
laptop-3080,b'Windows 10 Enterprise',huntress
laptop-3094,b'Windows 10 Enterprise',huntress
laptop-3098,b'Windows 10 Enterprise 2016 LTSB',huntress
laptop-3209,b'Windows 10 Enterprise',huntress
laptop-3218,b'Windows 10 Enterprise 2016 LTSB',huntress
laptop-3236,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3238,b'Windows 10 Enterprise',huntress
laptop-3239,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3271,b'Windows 10 Enterprise',huntress
laptop-3307,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3327,b'Windows 10 Enterprise',huntress
laptop-3328,b'Windows 10 Enterprise',huntress
laptop-3333,b'Windows 10 Enterprise',huntress
laptop-3339,b'Windows 10 Enterprise',huntress
laptop-3361,b'Windows 10 Enterprise',huntress
laptop-3379,b'Windows 10 Enterprise',huntress
laptop-3381,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3382,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3387,b'Windows 10 Enterprise',huntress
laptop-3388,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3389,b'Windows 10 Enterprise',huntress
laptop-3402,b'Windows 10 Pro',huntress
laptop-3405,b'Windows 10 Enterprise',huntress
laptop-3411,b'Windows 10 Enterprise',huntress
laptop-3419,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3423,b'Windows 10 Enterprise',huntress
laptop-3425,b'Windows 10 Enterprise',huntress
laptop-3427,b'Windows 10 Enterprise',huntress
laptop-3431,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3434,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3436,b'Windows 10 Enterprise',huntress
laptop-3438,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3443,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3446,b'Windows 10 Enterprise',huntress
laptop-3447,b'Windows 10 Enterprise',huntress
laptop-3452,b'Windows 10 Enterprise',huntress
laptop-3454,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3462,b'Windows 10 Enterprise',huntress
laptop-3463,b'Windows 10 Enterprise',huntress
laptop-3464,b'Windows 10 Enterprise',huntress
laptop-3465,b'Windows 10 Enterprise',huntress
laptop-3466,b'Windows 10 Enterprise',huntress
laptop-3467,b'Windows 10 Enterprise',huntress
laptop-3473,b'Windows 10 Enterprise',huntress
laptop-3475,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3476,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3478,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3479,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3481,b'Windows 10 Enterprise',huntress
laptop-3485,b'Windows 10 Enterprise',huntress
laptop-3486,b'Windows 10 Enterprise',huntress
laptop-3487,b'Windows 11 Enterprise',huntress
laptop-3489,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-3865,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-4296,b'Windows 10 Enterprise',huntress
laptop-4299,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-4300,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5000,b'Windows 10 Enterprise',huntress
laptop-5001,b'Windows 10 Enterprise',huntress
laptop-5003,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5004,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5005,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5006,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5007,b'Windows 10 Enterprise',huntress
laptop-5011,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5013,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5016,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5017,b'Windows 10 Enterprise',huntress
laptop-5018,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5019,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5020,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5021,b'Windows 10 Enterprise',huntress
laptop-5023,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5024,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5025,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5026,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5028,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5029,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5030,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5031,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5032,b'Windows 10 Enterprise',huntress
laptop-5033,b'Windows 10 Enterprise',huntress
laptop-5034,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5038,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5039,b'Windows 10 Enterprise',huntress
laptop-5040,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5042,b'Windows 10 Enterprise',huntress
laptop-5043,b'Windows 10 Enterprise',huntress
laptop-5045,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5046,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5048,b'Windows 10 Enterprise',huntress
laptop-5049,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5050,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5051,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5053,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5055,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5056,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5057,b'Windows 10 Enterprise',huntress
laptop-5058,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5059,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5060,b'Windows 10 Enterprise LTSC 2019',huntress
laptop-5061,b'Windows 10 Enterprise',huntress
