Asset Name,OS,huntress,sentinelone
accounting-007,b'Windows 10 Pro',huntress, 
accounting003,b'Windows 10 Pro',huntress, 
accounting004,b'Windows 10 Pro',huntress, 
accounting005,b'Windows 10 Pro',huntress, 
accounting006,b'Windows 10 Pro',huntress, 
accounting010,b'Windows 10 Pro',huntress, 
accounting10,b'Windows 10 Enterprise',huntress, 
accounting12,b'Windows 10 Pro 19044',huntress,sentinelone
accounting14,b'Windows 10 Pro',huntress, 
accounting2,b'Windows 10 Pro',huntress, 
accounting4,b'Windows 10 Enterprise',huntress, 
coloazsync,b'Windows Server 2016 Standard Evaluation',huntress, 
colodr01,b'Windows Server 2012 R2 Standard',huntress, 
colohvex,b'Windows Server 2012 R2 Datacenter',huntress, 
colohvnode02,b'Windows Server 2012 R2 Datacenter',huntress, 
colohvsc,b'Windows Server 2012 R2 Datacenter',huntress, 
colosql02,b'Windows Server 2012 R2 Standard',huntress, 
colovmca1,b'Windows Server 2016 Standard Evaluation',huntress, 
colovmdoc,b'Windows Server 2012 R2 Standard',huntress, 
colovmexch,b'Windows Server 2012 R2 Datacenter',huntress, 
colovmprt02,b'Windows Server 2012 R2 Datacenter',huntress, 
colovmtools,b'Windows Server 2012 R2 Datacenter Evaluation',huntress, 
corey-nuc,b'Windows 10 Pro',huntress, 
csweatx1lt,b'Windows 10 Pro',huntress, 
darren-nuc,b'Windows 10 Pro',huntress, 
darren-pc,b'Windows 11 Pro',huntress, 
desktop-01a9l60,b'Windows 10 Pro',huntress, 
desktop-03713nm,b'Windows 10 Pro',huntress, 
desktop-0vetgid,b'Windows 10 Pro',huntress, 
desktop-0vq38mj,b'Windows 10 Pro',huntress, 
desktop-111u8se,b'Windows 10 Pro',huntress, 
desktop-12r41fq,b'Windows 10 Pro',huntress, 
desktop-1a2tfjj,b'Windows 10 Pro',huntress, 
desktop-1f91jds,b'Windows 11 Pro',huntress, 
desktop-1ma39c5,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-2bi0mud,b'Windows 10 Pro',huntress, 
desktop-2rtbno2,b'Windows 10 Pro',huntress, 
desktop-33id0ff,b'Windows 10 Pro',huntress, 
desktop-3j8rnvf,b'Windows 10 Pro',huntress, 
desktop-3pa2gb3,b'Windows 10 Pro',huntress, 
desktop-43bsdce,b'Windows 11 Pro',huntress, 
desktop-48v9geu,b'Windows 10 Pro',huntress, 
desktop-4s75rbo,b'Windows 10 Pro',huntress, 
desktop-4u9jevh,b'Windows 11 Pro',huntress, 
desktop-5fp5h3o,b'Windows 11 Pro',huntress, 
desktop-5nt1p3a,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-5ugmvhe,b'Windows 10 Pro',huntress, 
desktop-616m6k3,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-6dcc58m,b'Windows 10 Pro',huntress, 
desktop-6fks3u8,b'Windows 10 Pro',huntress, 
desktop-6r8925o,b'Windows 10 Pro',huntress, 
desktop-7kt15rh,b'Windows 10 Pro',huntress, 
desktop-7qoohqr,b'Windows 10 Pro',huntress, 
desktop-7seram5,b'Windows 10 Pro',huntress, 
desktop-7ts6a4g,b'Windows 10 Pro',huntress, 
desktop-8khut0g,b'Windows 10 Pro',huntress, 
desktop-8lf9vc9,b'Windows 10 Pro',huntress, 
desktop-8m1vq5a,b'Windows 10 Pro',huntress, 
desktop-9534hba,b'Windows 10 Pro',huntress, 
desktop-9dt0l8j,b'Windows 10 Pro',huntress, 
desktop-9nbleon,b'Windows 10 Pro',huntress, 
desktop-9r5s18q,b'Windows 10 Pro',huntress, 
desktop-ago75ei,b'Windows 10 Pro',huntress, 
desktop-b7554j5,b'Windows 10 Pro',huntress, 
desktop-cdqj94c,b'Windows 10 Pro',huntress, 
desktop-cpfqqte,b'Windows 10 Pro',huntress, 
desktop-crgbsga,b'Windows 10 Pro',huntress, 
desktop-db3e3bs,b'Windows 10 Pro',huntress, 
desktop-dq6e39i,b'Windows 10 Pro',huntress, 
desktop-e1fn7p7,b'Windows 10 Pro',huntress, 
desktop-e5gb1vq,b'Windows 10 Pro',huntress, 
desktop-ef5ica8,b'Windows 10 Pro',huntress, 
desktop-eq775bk,b'Windows 10 Pro',huntress, 
desktop-f98gpp4,b'Windows 10 Pro',huntress, 
